source,target
Simon Thompson,Rebecca Turner
Harald Binder,Gerhard Tutz
Jan Gertheiss,Gerhard Tutz
Göran Kauermann,Gerhard Tutz
Florian Leitenstorfer,Gerhard Tutz
Kerrie Mengersen,Richard Tweedie
Zhiqiang Chen,David Tyler
John Kent,David Tyler
David S. Stoffer,David Tyler
Ray Chambers,Nikos Tzavidis
Jay Bartroff,Tze Leung Lai
Hock Peng Chan,Tze Leung Lai
Shulamith T. Gross,Tze Leung Lai
Minggao Gu,Tze Leung Lai
Mei-chiung Shih,Tze Leung Lai
David Siegmund,Tze Leung Lai
Charmaine Dean,María Dolores Ugarte
T. Goicoa,María Dolores Ugarte
Ana F. Militino,María Dolores Ugarte
Yasunori Fujikoshi,Vladimir V. Ulyanov
Mir Masoom Ali,Dale Umbach
Khatab M. Hassanein,Dale Umbach
A. K. Md. E. Saleh,Dale Umbach
Paddy Farrington,Steffen Unkel
Nickolay T. Trendafilov,Steffen Unkel
Tianxi Cai,Hajime Uno
Lu Tian,Hajime Uno
Gauss M. Cordeiro,Miguel A. Uribe-opazo
Silvia L. P. Ferrari,Miguel A. Uribe-opazo
Claude Lefèvre,Sergey Utev
Magda Peligrad,Sergey Utev
Ian W. Mckeague,Klaus J. Utikal
Wesley Johnson,Jessica Utts
Martin Schumacher,Werner Vach
Maria Luisa Menéndez,Igor Vajda
Domingo Morales,Igor Vajda
Leandro Pardo,Igor Vajda
Christophe Croux,Stefan Van Aelst
Jafar A. Khan,Stefan Van Aelst
Peter Rousseeuw,Stefan Van Aelst
Davy Paindaveine,Germain Van Bever
Marc Aerts,Pierre Van Damme
Philippe Beutels,Pierre Van Damme
Nele Goeyvaerts,Pierre Van Damme
Niel Hens,Pierre Van Damme
Geert Molenberghs,Pierre Van Damme
Ziv Shkedy,Pierre Van Damme
Heide Theeten,Pierre Van Damme
Peter Bühlmann,Sara Van De Geer
Feike C. Drost,Ramon Van Den Akker
Erwin Bolthausen,Michiel Van Den Berg
Frank Den Hollander,Remco Van Der Hofstad
Wolfgang König,Remco Van Der Hofstad
Gordon Slade,Remco Van Der Hofstad
Oliver Bembom,Mark Van Der Laan
Antoine Chambaz,Mark Van Der Laan
Sandrine Dudoit,Mark Van Der Laan
Alan Hubbard,Mark Van Der Laan
Nicholas P. Jewell,Mark Van Der Laan
Annette M. Molinaro,Mark Van Der Laan
Kelly L. Moore,Mark Van Der Laan
Romain Neugebauer,Mark Van Der Laan
Maya Petersen,Mark Van Der Laan
Katherine S. Pollard,Mark Van Der Laan
James Robins,Mark Van Der Laan
Michael Rosenblum,Mark Van Der Laan
Ira B. Tager,Mark Van Der Laan
Neeraj Misra,Edward Van Der Meulen
Geurt Jongbloed,Frank Van Der Meulen
Koen Mintiens,Yves Van Der Stede
Subhashis Ghosal,Aad Van Der Vaart
Bas Kleijn,Aad Van Der Vaart
Lingling Li,Aad Van Der Vaart
Susan Murphy,Aad Van Der Vaart
James Robins,Aad Van Der Vaart
Botond Szabó,Aad Van Der Vaart
Eric Tchetgen Tchetgen,Aad Van Der Vaart
Mark A. Van De Wiel,Aad Van Der Vaart
Samuel Kotz,Johan René Van Dorp
Thomas A. Mazzuchi,Johan René Van Dorp
Xiao-li Meng,David Van Dyk
Sorana Froda,Constance Van Eeden
Serge Tardif,Constance Van Eeden
Jeanine Houwing-duistermaat,Hans Van Houwelingen
Saskia Le Cessie,Hans Van Houwelingen
Aris Perperoglou,Hans Van Houwelingen
Hein Putter,Hans Van Houwelingen
Theo Stijnen,Hans Van Houwelingen
Marta Fiocco,J. C. Van Houwelingen
Saskia Le Cessie,J. C. Van Houwelingen
Hein Putter,J. C. Van Houwelingen
Michael Akritas,Ingrid Van Keilegom
Ricardo Cao,Ingrid Van Keilegom
Anouar El Ghouch,Ingrid Van Keilegom
Wenceslao González-manteiga,Ingrid Van Keilegom
Peter Hall,Ingrid Van Keilegom
Cédric Heuchenne,Ingrid Van Keilegom
Natalie Neumeyer,Ingrid Van Keilegom
Hohsuk Noh,Ingrid Van Keilegom
Juan Carlos Pardo-fernández,Ingrid Van Keilegom
Gerda Claeskens,Johan Van Kerckhoven
Christophe Croux,Johan Van Kerckhoven
Vincent Carey,Mark J Van Raden
Joan Chmiel,Mark J Van Raden
Donald R. Hoover,Mark J Van Raden
Lawrence Kingsley,Mark J Van Raden
Alvaro Muñoz,Mark J Van Raden
Jeremy Taylor,Mark J Van Raden
Els Goetghebeur,Bart Van Rompaye
Frits Ruymgaart,Arnoud C. M. Van Rooij
Joseph Gardiner,John Van Ryzin
Kamta Rai,John Van Ryzin
V. Susarla,John Van Ryzin
Geert Molenberghs,Kristel Van Steen
Mark A. Van De Wiel,Wessel N. Van Wieringen
Aad Van Der Vaart,Wessel N. Van Wieringen
Eduard Belitser,Harry Van Zanten
René De Jonge,Harry Van Zanten
Kacha Dzhaparidze,Harry Van Zanten
Botond Szabó,Harry Van Zanten
Frank Van Der Meulen,Harry Van Zanten
Aad Van Der Vaart,Harry Van Zanten
Frits Ruymgaart,Martien Van Zuijlen
Peter Bickel,Willem R. Van Zwet
Friedrich Götze,Willem R. Van Zwet
Jinbo Chen,Tyler Vanderweele
Bhramar Mukherjee,Tyler Vanderweele
James Robins,Tyler Vanderweele
Eric Tchetgen Tchetgen,Tyler Vanderweele
Jan Beirlant,Björn Vandewalle
Andrew Rukhin,Mark G. Vangel
Ariel Alonso,Tony Vangeneugden
Helena Geys,Tony Vangeneugden
Annouschka Laenen,Tony Vangeneugden
Geert Molenberghs,Tony Vangeneugden
Philip Brown,Marina Vannucci
Francesco Falciani,Marina Vannucci
Tom Fearn,Marina Vannucci
Michele Guindani,Marina Vannucci
Kyungduk Ko,Marina Vannucci
Naijun Sha,Marina Vannucci
Francesco Stingo,Marina Vannucci
Mahlet G. Tadesse,Marina Vannucci
Manoochehr Babanezhad,Stijn Vansteelandt
James Carpenter,Stijn Vansteelandt
Dawn L. Demeo,Stijn Vansteelandt
Els Goetghebeur,Stijn Vansteelandt
James Robins,Stijn Vansteelandt
Tyler Vanderweele,Stijn Vansteelandt
Glen Meeden,Stephen Vardeman
Dan Nordman,Stephen Vardeman
Arjun Gupta,T. Varga
Gauss M. Cordeiro,Klaus L. P. Vasconcellos
Francisco Cribari-neto,Klaus L. P. Vasconcellos
Moti L. Tiku,David C. Vaughan
Stéphan Clémençon,Nicolas Vayatis
Gábor Lugosi,Nicolas Vayatis
Hari Iyer,Dominic F. Vecchia
Luigi Pace,Laura Ventura
Walter Racugno,Laura Ventura
Alessandra Salvan,Laura Ventura
Roel Braekers,Noël Veraverbeke
Herman Callaert,Noël Veraverbeke
Ricardo Cao,Noël Veraverbeke
Irène Gijbels,Noël Veraverbeke
Paul Janssen,Noël Veraverbeke
Marek Omelka,Noël Veraverbeke
Robert Serfling,Noël Veraverbeke
Jan Swanepoel,Noël Veraverbeke
Ingrid Van Keilegom,Noël Veraverbeke
Marc Aerts,Geert Verbeke
Caroline Beunckens,Geert Verbeke
Clarice G. B. Demétrio,Geert Verbeke
Steffen Fieuws,Geert Verbeke
Mike Kenward,Geert Verbeke
Emmanuel Lesaffre,Geert Verbeke
Geert Molenberghs,Geert Verbeke
Dimitris Rizopoulos,Geert Verbeke
Herbert Thijs,Geert Verbeke
Brian Cullis,Arūnas Verbyla
Marc Hallin,Thomas Verdebout
Christophe Ley,Thomas Verdebout
Davy Paindaveine,Thomas Verdebout
Christopher Genovese,Isabella Verdinelli
Marco Perone-pacifico,Isabella Verdinelli
Mia Hubert,Tim Verdonck
Peter Rousseeuw,Tim Verdonck
Etienne Pardoux,A. Yu. Veretennikov
Irène Gijbels,Anneleen Verhasselt
Richard Johnson,Steve Verrill
Hans Van Houwelingen,Pierre J. M. Verweij
Holger Dette,Mathias Vetter
Mark Podolskij,Mathias Vetter
Philip Preuß,Mathias Vetter
Gregory Gurevich,Albert Vexler
Alan Hutson,Albert Vexler
Aiyi Liu,Albert Vexler
Neil J. Perkins,Albert Vexler
Enrique Schisterman,Albert Vexler
Lili Tian,Albert Vexler
Wan-min Tsai,Albert Vexler
Debbie J. Dupuis,Maria-pia Victoria-feser
Elvezio Ronchetti,Maria-pia Victoria-feser
Kichun Lee,Brani Vidakovic
Marianna Pensky,Brani Vidakovic
Pepa Ramirez-cobo,Brani Vidakovic
Fabrizio Ruggeri,Brani Vidakovic
Pilar Iglesias,Ignacio Vidal
Clarice G. B. Demétrio,Afrânio M. C. Vieira
Germán Aneiros-pérez,Philippe Vieu
Frédéric Ferraty,Philippe Vieu
Wenceslao González-manteiga,Philippe Vieu
Harshinder Singh,G. Vijayasree
Sonia Pértega Díaz,José A. Vilar
Mario Francisco-fernandez,Juan Vilar
Wenceslao González-manteiga,Juan Vilar
José A. Vilar,Juan Vilar
Narayanaswamy Balakrishnan,Filidor Vilca
Heleno Bolfarine,Filidor Vilca
Manuel Galea,Filidor Vilca
Victor H. Lachos,Filidor Vilca
Víctor Leiva,Filidor Vilca
Joan Chmiel,B R Visscher
Donald R. Hoover,B R Visscher
L P Jacobson,B R Visscher
Lawrence Kingsley,B R Visscher
Dankmar Böhning,Chukiat Viwatwongkasem
Narayanaswamy Balakrishnan,Michael Vock
John Crowley,Joseph G. Voelkel
Hani Samawi,Robert Vogel
Axel Bücher,Stanislav Volgushev
Holger Dette,Stanislav Volgushev
David Madigan,Chris Volinsky
Adrian Raftery,Chris Volinsky
Karim F. Hirji,Stein E. Vollset
S. Ejaz Ahmed,Andrei Volodin
Rita Giuliano,Andrei Volodin
Tien Chung Hu,Andrei Volodin
Manuel Ordóñez Cabrera,Andrei Volodin
Andrew Rosalsky,Andrei Volodin
Soo Hak Sung,Andrei Volodin
Kai Tai Fang,Dietrich Von Rosen
Tõnu Kollo,Dietrich Von Rosen
Martin Ohlson,Dietrich Von Rosen
M. Rauf Ahmad,Dietrich Von Rosen
Dietrich Von Rosen,Tatjana Von Rosen
Florent Autin,Rainer Von Sachs
Hilmar Böhm,Rainer Von Sachs
Jean-marc Freyermuth,Rainer Von Sachs
Wensheng Guo,Rainer Von Sachs
Michael H. Neumann,Rainer Von Sachs
Hernando Ombao,Rainer Von Sachs
Jonathan Raz,Rainer Von Sachs
Renming Song,Zoran Vondraček
Benjamin Kedem,Anastasia Voulgaraki
Laura Gosoniu,Penelope Vounatsou
Adrian Smith,Penelope Vounatsou
Tom Smith,Penelope Vounatsou
Els Goetghebeur,Bernard Vrijens
Ross Maller,Hien T. V. Vu
Jan Beirlant,Petra Vynckier
Yongtao 1 Guan,Rasmus Waagepetersen
Abdollah Jalilian,Rasmus Waagepetersen
Mitchell Gail,Sholom Wacholder
David Pee,Sholom Wacholder
Klaus Fleischmann,Vitali Wachtel
Kung Yee Liang,Myron A. Waclawiw
A. E. Ades,Angie Wade
Holger Dette,Jens Wagener
Stanislav Volgushev,Jens Wagener
Mark Conaway,Nolan A. Wages
John Oquigley,Nolan A. Wages
Ulrich Stadtmüller,Christian Wagner
Axel Munk,Thorsten Wagner
Chong Gu,Grace Wahba
Barbara Klein,Grace Wahba
Ronald Klein,Grace Wahba
Yi 1 Lin,Grace Wahba
Alekh Agarwal,Martin Wainwright
Po-ling Loh,Martin Wainwright
Sahand Negahban,Martin Wainwright
Garvesh Raskutti,Martin Wainwright
Pradeep Ravikumar,Martin Wainwright
Yasunori Fujikoshi,Hirofumi Wakaki
James Bennett,Jon Wakefield
Nicky Best,Jon Wakefield
Paul Elliott,Jon Wakefield
Youyi Fong,Jon Wakefield
Sebastien Haneuse,Jon Wakefield
Ruth Salway,Jon Wakefield
Kanti V. Mardia,A. N. Walder
László Györfi,Harro Walk
Michael Kohler,Harro Walk
Adam Krzyżak,Harro Walk
Abdel Babiker,A. S. Walker
Pier Giovanni Bissiri,Stephen Walker
Paul Damien,Stephen Walker
Stefano Favaro,Stephen Walker
Ruth Fuentes-garcía,Stephen Walker
Jim E. Griffin,Stephen Walker
Spyridon J. Hatjispyros,Stephen Walker
Nils Lid Hjort,Stephen Walker
George Karabatsos,Stephen Walker
Alfred Kume,Stephen Walker
Antonio Lijoi,Stephen Walker
Bani Mallick,Stephen Walker
Ramsés H. Mena,Stephen Walker
Pietro Muliere,Stephen Walker
Theodoros Nicoleris,Stephen Walker
Luis Nieto-barajas,Stephen Walker
Michael Pitt,Stephen Walker
Igor Prünster,Stephen Walker
Matteo Ruggiero,Stephen Walker
Cristiano Villa,Stephen Walker
Robert C. Dalang,John B. Walsh
Robert Tibshirani,Guenther Walther
Anoop Chaturvedi,Alan T. K. Wan
Xuerong Chen,Alan T. K. Wan
Jennifer S. K. Chan,Wai Y. Wan
Raymond Carroll,Matt P. Wand
Bhaswati Ganguli,Matt P. Wand
Peter Hall,Matt P. Wand
James S. Marron,Matt P. Wand
John T. Ormerod,Matt P. Wand
David Ruppert,Matt P. Wand
Louise Ryan,Matt P. Wand
Jan Hannig,Damian V. Wandler
Gengsheng Qin,Binhuan Wang
Jian Qing Shih,Bo 1 Wang
Wai Keung Li,Chao 1 Wang
Longbing Cao,Cheng 1 Wang
Baiqi Miao,Cheng 1 Wang
Michael Daniels,Chenguang Wang
Franklin A. Graybill,Chih Ming Wang
Hari Iyer,Chih Ming Wang
Raymond Carroll,Ching-yun Wang
Yijian Huang,Ching-yun Wang
Shen-ming Lee,Ching-yun Wang
Ross Prentice,Ching-yun Wang
Xiao Song,Ching-yun Wang
Myunghee Cho Paik,Cuiling Wang
Ningzhong Shi,Dehui Wang
Alan Hutson,Dongliang Wang
Wai-yin Poon,Hai-bin Wang
Michael Akritas,Haiyan Wang
Shein-chung Chow,Hansheng Wang
Wei Lan,Hansheng Wang
Chenlei Leng,Hansheng Wang
Jun Shao,Hansheng Wang
Chih-ling Tsai,Hansheng Wang
Burcu Aydin,Haonan Wang
Elizabeth Bullitt,Haonan Wang
James S. Marron,Haonan Wang
Changyong Feng,Hongyue Wang
Xin Tu,Hongyue Wang
Howard D. Bondell,Huixia Wang
Xuming He,Huixia Wang
Yanlin Tang,Huixia Wang
Jeng-min Chiou,Jane-ling Wang
Hsieh Fushing,Jane-ling Wang
Guozhong He,Jane-ling Wang
Ci-ren Jiang,Jane-ling Wang
Hans-georg Müller,Jane-ling Wang
Winfried Stute,Jane-ling Wang
Yi-kuan Tseng,Jane-ling Wang
Guo-liang Fan,Jiang-feng Wang
Han-ying Liang,Jiang-feng Wang
Lih-yuan Deng,Jiannong Wang
Dennis Lin,Jiannong Wang
Yixin Fang,Junhui Wang
Xiaotong Shen,Junhui Wang
Theo Gasser,Kongming Wang
Michael Akritas,Lan Wang
Runze Li,Lan Wang
Annie Qu,Lan Wang
Ingrid Van Keilegom,Lan Wang
Hua Liang,Li 1 Wang
David Dunson,Lianming Wang
Xiaoyan Lin,Lianming Wang
Radhey S. Singh,Lichun Wang
Tony Cai,Lie Wang
Xiaotong Shen,Lifeng Wang
Peisong Han,Lu 1 Wang
Peter X. K. Song,Lu 1 Wang
Peter Thall,Lu 1 Wang
Ying Qing Chen,Mei-cheng Wang
Chin-tsang Chiang,Mei-cheng Wang
Chiung-yu Huang,Mei-cheng Wang
Nicholas P. Jewell,Mei-cheng Wang
Jing Qin,Mei-cheng Wang
Tao Lu,Min 1 Wang
Xiaoqian Sun,Min 1 Wang
John J. Hanfelt,Molin Wang
Raymond Carroll,Naisyin Wang
Yehua Li,Naisyin Wang
Xihong Lin,Naisyin Wang
Wei 3 Liu,Nan Wang
Xiaolin Chen,Qihua Wang
Bingyi Jing,Qihua Wang
Peng Lai,Qihua Wang
Chunling Liu,Qihua Wang
Jon N. K. Rao,Qihua Wang
Zhihua Sun,Qihua Wang
Peter Hall,Qiying Wang
Bingyi Jing,Qiying Wang
Stephen Lagakos,Rui 1 Wang
Liang Peng,Ruodu Wang
Jun Shao,Sijian Wang
Shein-chung Chow,Songgui Wang
Tiefeng Ma,Songgui Wang
Raymond Carroll,Suojin Wang
Alan Dorfman,Suojin Wang
Randy Eubank,Suojin Wang
Henry L. Gray,Suojin Wang
Myung Suk Kim,Suojin Wang
Hua Liang,Suojin Wang
Samiran Sinha,Suojin Wang
Ching-yun Wang,Suojin Wang
Ray-bing Chen,Weichung Wang
Aidong Adam Ding,Weijing Wang
Takeshi Emura,Weijing Wang
Jin-jian Hsieh,Weijing Wang
Jiunn Tzon Hwang,Weizhen Wang
Daniel T. Voss,Weizhen Wang
M. Bhaskara Rao,Xiang Chen Wang
Deli Li,Xiang Chen Wang
Min 3 Chen,Xinlei Wang
Johan Lim,Xinlei Wang
Lynne Stokes,Xinlei Wang
Qihua Wang,Xuan 1 Wang
Zhi Geng,Xueli Wang
Hanxiang Peng,Xueqin Wang
Shaoli Wang,Xueqin Wang
Niansheng Tang,Xueren Wang
Shunfang Wang,Xueren Wang
Shuyuan He,Yanhua Wang
Arjun Gupta,Yining Wang
Michael P. Mcdermott,Yining Wang
Truc T. Nguyen,Yining Wang
Bruce M. Brown,You-gan Wang
Vincent Carey,You-gan Wang
Shenghua K. Fan,You-gan Wang
Liya Fu,You-gan Wang
Denis Leung,You-gan Wang
Xu 1 Lin,You-gan Wang
Huaihou Chen,Yuanjia Wang
Tianle Chen,Yuanjia Wang
Naihua Duan,Yuanjia Wang
Runze Li,Yuanjia Wang
Yanyuan Ma,Yuanjia Wang
Karen Marder,Yuanjia Wang
Daniel Rabinowitz,Yuanjia Wang
Morton B. Brown,Yuedong Wang
Chunlei Ke,Yuedong Wang
Anna Liu,Yuedong Wang
Tiejun Tong,Yuedong Wang
Grace Wahba,Yuedong Wang
Long Feng,Zhaojun Wang
Zhonghua Li,Zhaojun Wang
Yukun Liu,Zhaojun Wang
Hong Qin,Zhenghong Wang
Mitchell Gail,James Ware
Max Halperin,James Ware
Nan Laird,James Ware
Jack Bowden,James Wason
Christopher Genovese,Larry Wasserman
Joseph Kadane,Larry Wasserman
John Lafferty,Larry Wasserman
Han Liu,Larry Wasserman
Marco Perone-pacifico,Larry Wasserman
Alessandro Rinaldo,Larry Wasserman
James Robins,Larry Wasserman
Kathryn Roeder,Larry Wasserman
Aarti Singh,Larry Wasserman
Isabella Verdinelli,Larry Wasserman
Yasuhiro Omori,Toshiaki Watanabe
Richard Arratia,Michael Waterman
Louis Gordon,Michael Waterman
Bruce Lindsay,Richard P. Waterman
Peter Thall,Kyle Wathen
Yuri V. Borovskikh,Neville Weber
Gail Ivanoff,Neville Weber
Priscilla Greenwood,Wolfgang Wefelmeyer
Ian W. Mckeague,Wolfgang Wefelmeyer
Ursula U. Müller,Wolfgang Wefelmeyer
Anton Schick,Wolfgang Wefelmeyer
Florentina Bunea,Marten Wegkamp
Jean-david Fermanian,Marten Wegkamp
Dragan Radulović,Marten Wegkamp
Alexandre Tsybakov,Marten Wegkamp
Jeffrey Hart,Thomas Wehrly
Wing Fung,Bo Cheng Wei
Jinguan Lin,Bo Cheng Wei
Niansheng Tang,Bo Cheng Wei
Xueren Wang,Bo Cheng Wei
David Findley,Ching Zong Wei
Ching-kang Ing,Ching Zong Wei
Tze Leung Lai,Ching Zong Wei
Jian Huang,Fengrong Wei
Martin Tanner,Greg C. G. Wei
Tianxi Cai,Lee-jen Wei
Su-chun Cheng,Lee-jen Wei
Brian Claggett,Lee-jen Wei
John Lachin,Lee-jen Wei
Danyu Y. Lin,Lee-jen Wei
J. S. Lin,Lee-jen Wei
W. J. Padgett,Lee-jen Wei
Robert Smythe,Lee-jen Wei
Lu Tian,Lee-jen Wei
Hajime Uno,Lee-jen Wei
Xuming He,Ying Wei
Julian P. T. Higgins,Yinghui Wei
Hongzhe Li,Zhi Wei
Donna Baird,Clarice R. Weinberg
David Dunson,Clarice R. Weinberg
Sholom Wacholder,Clarice R. Weinberg
Stephen Lagakos,Janice Weinberg
Anthony Pettitt,I. S. Weir
Dennis Cook,Sanford Weisberg
Meehyung Cho,Robert Weiss
Janet S. Sinsheimer,Robert Weiss
Marc A. Suchard,Robert Weiss
Jeremy Taylor,Robert Weiss
Jerome Sacks,William J. Welch
Brian Cullis,Sue Welham
Beverley Gogel,Sue Welham
Mike Kenward,Sue Welham
Robin Thompson,Sue Welham
Christine Müller,Robin Wellmann
Fadoua Balabdaoui,Jon Wellner
Norman Breslow,Jon Wellner
Piet Groeneboom,Jon Wellner
Hanna Jankowski,Jon Wellner
Geurt Jongbloed,Jon Wellner
Marloes H. Maathuis,Jon Wellner
Aad Van Der Vaart,Jon Wellner
James Booth,Martin Wells
George Casella,Martin Wells
Dominique Fourdrinier,Martin Wells
Sreenivasa R. Jammalamadaka,Martin Wells
Elizabeth Schifano,Martin Wells
Robert Strawderman,Martin Wells
William Strawderman,Martin Wells
Ram Tiwari,Martin Wells
Weijing Wang,Martin Wells
Raymond Carroll,Alan Welsh
Ray Chambers,Alan Welsh
Chris Field,Alan Welsh
Peter Hall,Alan Welsh
Gavin Melville,Alan Welsh
Samuel Müller,Alan Welsh
Elvezio Ronchetti,Alan Welsh
Andreas F. Ruckstuhl,Alan Welsh
J. L. Scealy,Alan Welsh
A. E. Ades,Nicky Welton
Sofia Dias,Nicky Welton
Georgia Salanti,Nicky Welton
Alex Sutton,Nicky Welton
I Shou Chang,Chi-chung Wen
Yi-hau Chen,Chi-chung Wen
Chao A. Hsiung,Chi-chung Wen
Olimjon Sharipov,Martin Wendler
Jen-pei Liu,Chung-sing Weng
Enkelejd Hashorva,Zhichao Weng
Feike C. Drost,Bas Werker
Marc Hallin,Bas Werker
Ramon Van Den Akker,Bas Werker
David Cox,Nanny Wermuth
Steffen Lauritzen,Nanny Wermuth
Giovanni M. Marchetti,Nanny Wermuth
Mohammad Ahsanullah,Jacek Wesołowski
Konstancja Bobecka,Jacek Wesołowski
Włodzimierz Bryc,Jacek Wesołowski
Arjun Gupta,Jacek Wesołowski
Grzegorz Rempala,Jacek Wesołowski
Carlos Carvalho,Mike West
Adrian Dobra,Mike West
Chris Hans,Mike West
Beatrix Jones,Mike West
Andrew D. Krystal,Mike West
Joseph R. Nevins,Mike West
Raquel Prado,Mike West
Quanli Wang,Mike West
Ralph L. Kodell,Ronnie W. West
Walter W. Piegorsch,Ronnie W. West
John R. Thompson,Claire L. Weston
Stephen R. Cole,Daniel Westreich
J. A. John,D. Whitaker
Paddy Farrington,Heather J. Whitaker
Mounia Hocine,Heather J. Whitaker
Patrick Musonda,Heather J. Whitaker
Allan Sampson,Lyn R. Whitaker
James Carpenter,Ian White
Julian P. T. Higgins,Ian White
Dan Jackson,Ian White
Ruth H. Keogh,Ian White
Stuart J. Pocock,Ian White
Patrick Royston,Ian White
Shaun Seaman,Ian White
Simon Thompson,Ian White
Kim Bolland,Anne Whitehead
Julian P. T. Higgins,Anne Whitehead
Marina Roshini Sooriyarachchi,Anne Whitehead
M. Fazil Baksh,John Whitehead
Kim Bolland,John Whitehead
Michael 2 Branson,John Whitehead
Thomas Jaki,John Whitehead
Marina Roshini Sooriyarachchi,John Whitehead
Nigel Stallard,John Whitehead
Helene Thygesen,John Whitehead
Susan Todd,John Whitehead
Anne Whitehead,John Whitehead
Jane F. Gentleman,George A. Whitmore
Mei Ling Ting Lee,George A. Whitmore
Myron Chang,Sam Wieand
Sin-ho Jung,Sam Wieand
Bimal Sinha,Sam Wieand
Terry M. Therneau,Sam Wieand
Zhide Fang,Douglas Wiens
Scott Holan,Christopher Wikle
Ralph F. Milliff,Christopher Wikle
Doug Nychka,Christopher Wikle
Donna Baird,Allen J. Wilcox
Clarice R. Weinberg,Allen J. Wilcox
Yannan Jiang,Chris Wild
John Neuhaus,Chris Wild
M. Pfannkuch,Chris Wild
Alastair Scott,Chris Wild
Alan Hutson,Gregory E. Wilding
Govind S. Mudholkar,Gregory E. Wilding
Guogen Shan,Gregory E. Wilding
Damaraju Raghavarao,James B. Wiley
Danyu Y. Lin,Andrew R. Willan
Stefan Van Aelst,Gert Willems
Bernard Rosner,Walter Willett
J. A. John,Emlyn Williams
H. D. Patterson,Emlyn Williams
Hans-peter Piepho,Emlyn Williams
D. Whitaker,Emlyn Williams
Huiman X. Barnhart,John Williamson
Somnath Datta,John Williamson
Hae-young Kim,John Williamson
Hung-mo Lin,John Williamson
Stuart Lipsitz,John Williamson
Robert H. Lyles,John Williamson
Amita Manatunga,John Williamson
Glen A. Satten,John Williamson
Brian Reich,Ander Wilson
Paul Clarke,Frank Windmeijer
Thomas Mikosch,Olivier Wintenberger
Saralees Nadarajah,Christopher Withers
Piet Groeneboom,Birgit I. Witte
Geurt Jongbloed,Birgit I. Witte
Ali Shojaie,Daniela Witten
Kean Ming Tan,Daniela Witten
Robert Tibshirani,Daniela Witten
Erica Brittain,Janet Wittes
K. K. Gordon Lan,Janet Wittes
Michael Proschan,Janet Wittes
Olivier Ledoit,Michael 1 Wolf
Dimitris Politis,Michael 1 Wolf
Joseph Romano,Michael 1 Wolf
John Crowley,Michael 2 Wolf
Ping Yu Liu,Michael 2 Wolf
Haiying Chen,Douglas A. Wolfe
Yuh-ing Chen,Douglas A. Wolfe
Steven Maceachern,Douglas A. Wolfe
John Orban,Douglas A. Wolfe
Omer Ozturk,Douglas A. Wolfe
Elizabeth A. Stasny,Douglas A. Wolfe
Xuelin Huang,Robert A. Wolfe
Friedrich K. Port,Robert A. Wolfe
Peter Thall,Johannes E. Wolff
Jiti Gao,Rodney Wolff
Peter Hall,Rodney Wolff
Thomas Jaki,Martin J. Wolfsegger
James Berger,Robert Wolpert
Johan Lim,Joong-ho Won
Donald A. S. Fraser,Augustine Wong
Marie Rekkas,Augustine Wong
Y. Sun,Augustine Wong
Robert Kohn,Chi-ming Wong
Wai Keung Li,Chun Shan Wong
Linxiong Li,George Y. C. Wong
Min 1 Chen,Heung Wong
Waicheung Ip,Heung Wong
Wai Keung Li,Heung Wong
Yuan Li,Heung Wong
Shiqing Ling,Heung Wong
Jinshan Liu,Heung Wong
David Cox,Man Yu Wong
Nicholas E. Day,Man Yu Wong
Wai Keung Li,Tony Siu Tung Wong
Ray-bing Chen,Wengkee Wong
Holger Dette,Wengkee Wong
Belmiro P. M. Duarte,Wengkee Wong
Dale Song,Wengkee Wong
Guorui Bian,Wing-keung Wong
Moti L. Tiku,Wing-keung Wong
Augustine Kong,Wing Hung Wong
Faming Liang,Wing Hung Wong
Jun 1 Liu,Wing Hung Wong
Xiaotong Shen,Wing Hung Wong
Getulio J. A. Amaral,Andrew Wood
James Booth,Andrew Wood
Ronald Butler,Andrew Wood
Grace Chan,Andrew Wood
Ian Dryden,Andrew Wood
Peter Hall,Andrew Wood
Alfred Kume,Andrew Wood
Huiling Le,Andrew Wood
Simon Preston,Andrew Wood
Patrick Royston,Angela M. Wood
Ian White,Angela M. Wood
Wenxin Jiang,Sally Wood
Robert Kohn,Sally Wood
Ori Rosen,Sally Wood
Kenneth G. Manton,Max A. Woodbury
Richard F. Potthoff,Max A. Woodbury
Eric Stallard,Max A. Woodbury
D. S. Coad,Michael Woodroofe
Jayanta Pal,Michael Woodroofe
Bodhisattva Sen,Michael Woodroofe
Jiayang Sun,Michael Woodroofe
Matthew Walker,Michael Woodroofe
Susan Lewis,David Woods
Henry L. Gray,Wayne A. Woodward
William R. Schucany,Wayne A. Woodward
F. Carbonell,Keith J. Worsley
Jonathan Taylor,Keith J. Worsley
Patrick Royston,Eileen M. Wright
Lee J. Bain,F. T. Wright
Max Engelhardt,F. T. Wright
James M. Guffey,F. T. Wright
Kane Nashimoto,F. T. Wright
Tim Robertson,F. T. Wright
Bahadur Singh,F. T. Wright
Seunggeun Lee,Fred A. Wright
Jiahua Chen,Changbao Wu
Jon N. K. Rao,Changbao Wu
Randy Sitter,Changbao Wu
Aiyi Liu,Chengqing Wu
Enrique Schisterman,Chengqing Wu
Mingyao Ai,Chien Fu Wu
Jiahua Chen,Chien Fu Wu
Ying Hung,Chien Fu Wu
Rahul Mukerjee,Chien Fu Wu
