source,target
Tomasz Burzykowski,Helena Geys
Marc Buyse,Helena Geys
Christel Faes,Helena Geys
Paul Clarke,Azra C. Ghani
Christl A. Donnelly,Azra C. Ghani
Dhaifalla Al-mutairi,M. E. Ghitany
Sayantan Banerjee,Subhashis Ghosal
Ayanendranath Basu,Abhik Ghosh
Munmun Biswas,Anil K. Ghosh
Probal Chaudhuri,Anil K. Ghosh
Subhajit Dutta,Anil K. Ghosh
Wei 1 Chen,Debashis Ghosh
Ashish Das,Himadri Ghosh
Asit P. Basu,Jayanta K. Ghosh
Rabi Bhattacharya,Jayanta K. Ghosh
Arijit Chakrabarti,Jayanta K. Ghosh
Subhashis Ghosal,Jayanta K. Ghosh
Merlise Clyde,Joyee Ghosh
Sounak Chakraborty,Malay Ghosh
Gauri Datta,Malay Ghosh
Dipak Dey,Malay Ghosh
Kaushik Ghosh,Pulak Ghosh
Belkacem Abdous,Kilani Ghoudi
Christian Genest,Kilani Ghoudi
Jean-dominique Deuschel,Giambattista Giacomin
Anup Amatya,Robert D. Gibbons
Subhash Aryal,Robert D. Gibbons
Dulal Bhaumik,Robert D. Gibbons
Anestis Antoniadis,Irène Gijbels
Aurore Delaigle,Irène Gijbels
Jianqing Fan,Irène Gijbels
Enrico A. Colosimo,Gustavo L. Gilardoni
Maristela Dias De Oliveira,Gustavo L. Gilardoni
Nicky Best,Walter R. Gilks
George Casella,Jeff Gill
Daniela De Angelis,O. N. Gill
Per Anderson,Richard Gill
Scott Emerson,Daniel L. Gillen
Brian Cullis,Arthur Gilmour
Neil Butler,Steven Gilmour
Marie Davidian,David M. Giltinan
Michael Evans,Zvi Gilula
Heleno Bolfarine,Patricia Gimenez
Enrico A. Colosimo,Patricia Gimenez
Manuel Galea,Patricia Gimenez
Miguel A. Arcones,Evarist Giné
Alessandro Baldi Antognini,Alessandra Giovagnoli
Charles Bouveyron,Stéphane Girard
Laurent Gardes,Stéphane Girard
Agnès Caille,Bruno Giraudeau
Allan Donner,Bruno Giraudeau
George Casella,Javier Girón
Steve 1 Brooks,Paolo Giudici
Brian Cullis,A. C. Gleeson
Frank Bretz,Ekkehard Glimm
Werner Ehm,Tilmann Gneiting
Marc G. Genton,Tilmann Gneiting
Brent Coull,John J. Godleski
Arnaud Doucet,Simon Godsill
Chih Kang Chu,Fred Godtliebsen
Jan Beirlant,Yuri Goegebeur
Tertius De Wet,Yuri Goegebeur
Manoochehr Babanezhad,Els Goetghebeur
Marc Aerts,Nele Goeyvaerts
Philippe Beutels,Nele Goeyvaerts
Hervé Cardot,Camelia Goga
Mohamed Chaouch,Camelia Goga
Brian Cullis,Beverley Gogel
Dianne M. Finkelstein,William B. Goggins
Richard Gelber,Aron Goldhirsch
Brian Caffo,Jeff Goldsmith
Ciprian Crainiceanu,Jeff Goldsmith
Frederico Caeiro,Ivette Gomes
Fernanda Figueiredo,Ivette Gomes
Isabel Fraga Alves,Ivette Gomes
Reinaldo B. Arellano-valle,Héctor W. Gómez
Heleno Bolfarine,Héctor W. Gómez
Francisco J. Caro-lopera,Graciela González-farías
José A. Díaz-garcía,Graciela González-farías
Armando Domínguez-molina,Graciela González-farías
Graciela Boente,Wenceslao González-manteiga
Carmen Cadarso-suárez,Wenceslao González-manteiga
Ricardo Cao,Wenceslao González-manteiga
J. A. Cristóbal Cristóbal,Wenceslao González-manteiga
Rosa María Crujeiras,Wenceslao González-manteiga
Jacobo De Uña-álvarez,Wenceslao González-manteiga
Manuel Febrero,Wenceslao González-manteiga
Eduardo García-portugués,Wenceslao González-manteiga
Pilar García-soidán,Wenceslao González-manteiga
Juan Antonio Cuesta,Alfonso Gordaliza
Luis A. García-escudero,Alfonso Gordaliza
Richard Arratia,Louis Gordon
Marc G. Genton,David J. Gorsich
Takashi Daimon,Masashi Goto
Alan Agresti,Anna Gottard
Vidmantas Bentkus,Friedrich Götze
Mindaugas Bloznelis,Friedrich Götze
Sergey Bobkov,Friedrich Götze
Gennadiy P. Chistyakov,Friedrich Götze
A. E. Ades,A. Goubar
Daniela De Angelis,A. Goubar
George Casella,Constantinos Goutis
Christophe Ambroise,Gérard Govaert
Christophe Biernacki,Gérard Govaert
Gilles Celeux,Gérard Govaert
S. Balamurali,K. Govindaraju
Mark Bebbington,K. Govindaraju
Alexei Dmitrienko,Zakkula Govindarajulu
Odd Aalen,Jon Michael Gran
Mitchell Gail,Barry Graubard
Ron Brookmeyer,Sarah M. Gray
Richard K. Burdick,Franklin A. Graybill
John Crowley,Stephanie J. Green
David P. Byar,Sylvan B. Green
Mitchell Gail,Sylvan B. Green
Siddhartha Chib,Edward Greenberg
Lawrence 1 Brown,Eitan Greenshtein
Shelley B. Bull,Celia M. T. Greenwood
Anestis Antoniadis,Gérard Grégoire
J. Theodore Cox,Andreas Greven
Donald Dawson,Andreas Greven
Frank Den Hollander,Andreas Greven
Klaus Fleischmann,Andreas Greven
Ciprian Crainiceanu,Sonja Greven
Maury Bramson,David Griffeath
